https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1634806800000,2021-10-21 09:00:00,BTC/USD,65904.0,66643.0,65893.0,66212.0,15869894.7554776,239.6830598
1634803200000,2021-10-21 08:00:00,BTC/USD,65109.94447484,66085.0,65084.0,65889.84074608,18847806.748192254,286.05027019
1634799600000,2021-10-21 07:00:00,BTC/USD,64646.0,65254.0,64432.37423478,65118.0,14820349.57831614,227.59221073
1634796000000,2021-10-21 06:00:00,BTC/USD,64885.0,65034.0,64033.0,64649.0,108283897.35166432,1674.95084768
1634792400000,2021-10-21 05:00:00,BTC/USD,65072.0,65189.0,64855.53045845,64885.0,35027012.8524156,539.83220856
1634788800000,2021-10-21 04:00:00,BTC/USD,65103.0,65228.12623192,64647.2346159,65073.0,49069282.104621604,754.0651592
1634785200000,2021-10-21 03:00:00,BTC/USD,64958.0,65249.0,64427.0,65105.0203678,51443417.49388392,790.16053145
1634781600000,2021-10-21 02:00:00,BTC/USD,65009.1414022,65396.0,64118.0,64958.0,89994484.36342314,1385.42572683
1634778000000,2021-10-21 01:00:00,BTC/USD,65631.19949678,65728.0,64718.0,65028.0,24922929.27211056,383.26458252
1634774400000,2021-10-21 00:00:00,BTC/USD,66021.0,66022.0,65578.0,65631.0,14172196.17975606,215.93753226
1634770800000,2021-10-20 23:00:00,BTC/USD,65896.0,66197.52827011,65861.0,66021.0,6996084.443152291,105.96756249
1634767200000,2021-10-20 22:00:00,BTC/USD,65810.0,66100.0,65454.0,65902.0,12162370.53289544,184.55237372
1634763600000,2021-10-20 21:00:00,BTC/USD,65993.0,66045.0,65568.0,65811.0,10427765.41065474,158.45018934
1634760000000,2021-10-20 20:00:00,BTC/USD,66374.0,66400.0,65668.0,65970.0,28163624.2146729,426.91563157
1634756400000,2021-10-20 19:00:00,BTC/USD,66644.0,66699.9339076,66229.0,66375.0,14844878.297291249,223.65165043
1634752800000,2021-10-20 18:00:00,BTC/USD,66374.0,66695.0,66342.70831513,66644.0,14484316.929953959,217.33864909
1634749200000,2021-10-20 17:00:00,BTC/USD,66429.0,66511.0,66102.0,66375.0,30190718.470185,454.85074908
1634745600000,2021-10-20 16:00:00,BTC/USD,66832.0,66888.0,66339.0,66430.0,32700865.632134702,492.26050929
1634742000000,2021-10-20 15:00:00,BTC/USD,66673.0,66865.0,66270.0,66832.0,48275981.24208352,722.34829486
1634738400000,2021-10-20 14:00:00,BTC/USD,66080.0,66958.0,65760.0,66673.0,147379980.86553758,2210.48971646
1634734800000,2021-10-20 13:00:00,BTC/USD,64372.0,66200.0,64154.0,66079.0,135828559.09771433,2055.54804246
1634731200000,2021-10-20 12:00:00,BTC/USD,63778.0,64551.10412076,63766.0,64371.0,27235030.16897949,423.09471919
1634727600000,2021-10-20 11:00:00,BTC/USD,63837.0,63907.0,63722.0,63782.0,6108578.30652182,95.77276201
1634724000000,2021-10-20 10:00:00,BTC/USD,63995.0,64040.16091875,63761.0,63838.0,5880881.70993034,92.12196043
1634720400000,2021-10-20 09:00:00,BTC/USD,64022.0,64153.0,63851.0,63995.0,5977889.37802335,93.41181933
1634716800000,2021-10-20 08:00:00,BTC/USD,64020.0,64223.0,63973.0,64022.0,6967043.18356312,108.82264196
1634713200000,2021-10-20 07:00:00,BTC/USD,63782.0,64106.0,63741.0,64022.0,5214855.010573179,81.45410969
1634709600000,2021-10-20 06:00:00,BTC/USD,63770.0,64181.60390542,63694.24115549,63777.0,8835841.88450103,138.54276439
1634706000000,2021-10-20 05:00:00,BTC/USD,64052.0,64052.0,63535.0,63774.0,14321062.630048139,224.55957961
1634702400000,2021-10-20 04:00:00,BTC/USD,63844.0,64095.0,63783.0,64052.0,16043879.23284812,250.48209631
1634698800000,2021-10-20 03:00:00,BTC/USD,63780.0,64030.32932494,63778.0,63844.0,9242704.07054676,144.77012829
1634695200000,2021-10-20 02:00:00,BTC/USD,63818.0,63939.110043,63709.0,63779.0,6320357.97328381,99.09779039
1634691600000,2021-10-20 01:00:00,BTC/USD,64058.0,64175.0,63721.0,63817.62401253,8244418.069357034,129.18716729
1634688000000,2021-10-20 00:00:00,BTC/USD,64263.93176072,64340.69397696,64001.0,64056.53792462,8195783.751515239,127.94609289
1634684400000,2021-10-19 23:00:00,BTC/USD,64087.0,64421.0,64003.0,64263.0,16090854.824207759,250.39065752
1634680800000,2021-10-19 22:00:00,BTC/USD,64054.0,64211.0,63848.0,64089.0,5397056.096997149,84.21189435
1634677200000,2021-10-19 21:00:00,BTC/USD,64095.0,64177.0,63700.0,64074.0,12908591.1175338,201.4637937
1634673600000,2021-10-19 20:00:00,BTC/USD,64166.0,64291.0,63828.0,64083.42978788,17540447.38452841,273.71268115
1634670000000,2021-10-19 19:00:00,BTC/USD,63420.0,64238.0,63408.61610442,64165.32242109,92891947.39034824,1447.69704079
1634666400000,2021-10-19 18:00:00,BTC/USD,63394.0,63576.0,63091.0308288,63420.14027919,18870022.344425093,297.53990233
1634662800000,2021-10-19 17:00:00,BTC/USD,63166.04711969,63484.15621477,63063.0,63387.0,24808823.86766391,391.38662293
1634659200000,2021-10-19 16:00:00,BTC/USD,62401.0,63182.0,62303.0,63166.0,22149579.39282148,350.65667278
1634655600000,2021-10-19 15:00:00,BTC/USD,62556.0,62845.0,62362.0,62401.0,14454735.20665332,231.64268532
1634652000000,2021-10-19 14:00:00,BTC/USD,62658.43808458,62729.0,61368.0,62573.0,63546268.846805364,1015.55413432
1634648400000,2021-10-19 13:00:00,BTC/USD,62202.0,63563.0,62067.0,62657.0,134967799.16114467,2154.07375331
1634644800000,2021-10-19 12:00:00,BTC/USD,62119.0,62500.0,61982.0,62220.0,10315138.4914392,165.78493236
1634641200000,2021-10-19 11:00:00,BTC/USD,62227.0,62291.0,62057.0,62118.0,7134168.77427366,114.84865537
1634637600000,2021-10-19 10:00:00,BTC/USD,62109.0,62379.0,62045.0,62227.0,7597986.1160853105,122.10111553
1634634000000,2021-10-19 09:00:00,BTC/USD,62529.0,62532.15362017,61907.0,62111.0,18237515.83922191,293.62779281
1634630400000,2021-10-19 08:00:00,BTC/USD,62295.0,62541.9705998,61709.0,62520.0,13263802.6734516,212.15295383
1634626800000,2021-10-19 07:00:00,BTC/USD,62183.0,62314.64379563,61975.0,62294.0,10918185.79515668,175.26865822
1634623200000,2021-10-19 06:00:00,BTC/USD,62469.0,62504.39080431,62006.0,62159.0,9568181.26174806,153.93074634
1634619600000,2021-10-19 05:00:00,BTC/USD,62426.83010812,62569.0,62330.0,62467.0,4812343.603389271,77.03817381
1634616000000,2021-10-19 04:00:00,BTC/USD,62599.0,62824.0,62262.0,62427.0,7795884.55095009,124.88001267
1634612400000,2021-10-19 03:00:00,BTC/USD,61745.0,62972.0,61720.0,62599.29785916,42871358.389368355,684.85366219
1634608800000,2021-10-19 02:00:00,BTC/USD,61810.0,61895.0,61685.0,61747.0,2567516.764533,41.581239000000004
1634605200000,2021-10-19 01:00:00,BTC/USD,61852.0,61985.0,61667.0,61808.0,8960507.532834081,144.97326451
1634601600000,2021-10-19 00:00:00,BTC/USD,62007.0,62317.0,61804.0,61852.62318385,8541635.21976394,138.09657182
1634598000000,2021-10-18 23:00:00,BTC/USD,62071.0,62099.0,61814.0,61994.0,4680750.48228626,75.50328229
1634594400000,2021-10-18 22:00:00,BTC/USD,61778.0,62080.0,61608.0,62071.0,5864358.14791403,94.47822893
1634590800000,2021-10-18 21:00:00,BTC/USD,61364.0,61900.0,61112.0,61788.0,13581590.820717359,219.80952322
1634587200000,2021-10-18 20:00:00,BTC/USD,61416.0,61577.0,61120.0,61364.0,64098745.55471264,1044.56595976
1634583600000,2021-10-18 19:00:00,BTC/USD,61844.0,61844.0,61025.0,61438.0,21112832.1395641,343.64452195
1634580000000,2021-10-18 18:00:00,BTC/USD,61732.0,62000.0,61693.78514631,61844.24292063,3856238.9534408664,62.354049
1634576400000,2021-10-18 17:00:00,BTC/USD,61798.0,62092.0,61725.31160931,61727.06307948,8873168.089526383,143.74842487
